episode,score,reward,avg_score,total_steps,time
1,0,-1,0.0,5,2.944450616836548
2,0,-1,0.0,10,3.1312177181243896
3,0,-1,0.0,15,3.4242429733276367
4,0,-1,0.0,25,4.424121618270874
5,1,0,0.2,38,6.18693995475769
6,0,-1,0.16666666666666666,44,7.035418272018433
7,0,-1,0.14285714285714285,49,7.856766223907471
8,0,-1,0.125,53,8.417981386184692
9,0,-1,0.1111111111111111,69,10.867051601409912
10,1,0,0.2,75,11.765058517456055
11,0,-1,0.18181818181818182,79,12.388962268829346
12,0,-1,0.16666666666666666,87,13.571158409118652
13,1,0,0.23076923076923078,97,15.118662357330322
14,0,-1,0.21428571428571427,107,16.648430109024048
15,0,-1,0.2,111,17.274964570999146
16,0,-1,0.1875,116,18.106760263442993
17,0,-1,0.17647058823529413,123,19.180251359939575
18,0,-1,0.16666666666666666,126,19.657930374145508
19,0,-1,0.15789473684210525,129,20.086875200271606
20,0,-1,0.15,132,20.533785581588745
21,0,-1,0.14285714285714285,143,22.24479103088379
22,0,-1,0.13636363636363635,148,23.055561780929565
23,0,-1,0.13043478260869565,153,23.767526388168335
24,0,-1,0.125,158,24.613908290863037
25,1,0,0.16,161,25.05441117286682
26,0,-1,0.15384615384615385,169,26.33378577232361
27,0,-1,0.14814814814814814,178,27.609907150268555
28,0,-1,0.14285714285714285,186,28.881049871444702
29,0,-1,0.13793103448275862,192,29.87505078315735
30,0,-1,0.13333333333333333,196,30.479257822036743
31,0,-1,0.12903225806451613,214,33.47862958908081
32,0,-1,0.125,218,34.116721391677856
33,0,-1,0.12121212121212122,227,35.517611503601074
34,0,-1,0.11764705882352941,239,37.499478816986084
35,0,-1,0.11428571428571428,243,38.22322368621826
36,0,-1,0.1111111111111111,246,38.647220849990845
37,0,-1,0.10810810810810811,251,39.36145567893982
38,3,2,0.18421052631578946,278,43.6229944229126
39,0,-1,0.1794871794871795,285,44.67994809150696
40,0,-1,0.175,296,46.35568189620972
41,0,-1,0.17073170731707318,301,47.14942717552185
42,0,-1,0.16666666666666666,315,49.294052600860596
43,1,0,0.18604651162790697,327,51.22586536407471
44,0,-1,0.18181818181818182,335,52.569069147109985
45,0,-1,0.17777777777777778,347,54.53541326522827
46,0,-1,0.17391304347826086,356,55.95018196105957
47,0,-1,0.1702127659574468,360,56.59032893180847
48,0,-1,0.16666666666666666,370,58.21911692619324
49,0,-1,0.16326530612244897,380,59.825279712677
50,1,0,0.18,383,60.391730308532715
51,0,-1,0.17647058823529413,388,61.138612270355225
52,0,-1,0.17307692307692307,393,61.97957706451416
53,0,-1,0.16981132075471697,397,62.59590268135071
54,0,-1,0.16666666666666666,402,63.40540885925293
55,0,-1,0.16363636363636364,418,65.94205617904663
56,0,-1,0.16071428571428573,421,66.40288162231445
57,0,-1,0.15789473684210525,428,67.58612108230591
58,0,-1,0.15517241379310345,435,68.85705828666687
59,0,-1,0.15254237288135594,447,70.80230236053467
60,0,-1,0.15,462,73.08782911300659
61,0,-1,0.14754098360655737,465,73.60910034179688
62,0,-1,0.14516129032258066,469,74.25258255004883
63,0,-1,0.14285714285714285,480,76.05216264724731
64,1,0,0.15625,489,77.49665570259094
65,1,0,0.16923076923076924,492,77.93664908409119
66,0,-1,0.16666666666666666,499,79.08095908164978
67,0,-1,0.16417910447761194,505,79.91093826293945
68,0,-1,0.16176470588235295,514,81.3907060623169
69,0,-1,0.15942028985507245,520,82.33483028411865
70,1,0,0.17142857142857143,530,83.95576786994934
71,0,-1,0.16901408450704225,548,86.93183875083923
72,0,-1,0.16666666666666666,563,89.25712418556213
73,0,-1,0.1643835616438356,574,90.95482420921326
74,1,0,0.17567567567567569,578,91.53645873069763
75,0,-1,0.17333333333333334,581,91.9855260848999
76,0,-1,0.17105263157894737,589,93.24617099761963
77,2,1,0.19480519480519481,596,94.36976075172424
78,0,-1,0.19230769230769232,601,95.07400679588318
79,0,-1,0.189873417721519,608,96.2422022819519
80,0,-1,0.1875,614,97.20553159713745
81,1,0,0.19753086419753085,632,100.00502681732178
82,0,-1,0.1951219512195122,636,100.63879156112671
83,0,-1,0.1927710843373494,640,101.32004022598267
84,0,-1,0.19047619047619047,644,101.92357349395752
85,0,-1,0.18823529411764706,657,104.04774165153503
86,0,-1,0.18604651162790697,662,104.86308860778809
87,0,-1,0.1839080459770115,667,105.69508004188538
88,0,-1,0.18181818181818182,672,106.53242778778076
89,0,-1,0.1797752808988764,687,109.0004734992981
90,0,-1,0.17777777777777778,698,110.861732006073
91,0,-1,0.17582417582417584,732,116.30776715278625
92,0,-1,0.17391304347826086,737,117.11170792579651
93,0,-1,0.17204301075268819,751,119.50003385543823
94,1,0,0.18085106382978725,790,125.70513033866882
95,1,0,0.18947368421052632,811,129.11878871917725
96,0,-1,0.1875,816,130.08977699279785
97,1,0,0.1958762886597938,822,131.0795452594757
98,0,-1,0.19387755102040816,827,131.94427824020386
99,0,-1,0.1919191919191919,831,132.52246141433716
100,1,0,0.2,838,133.73347854614258
101,0,-1,0.19801980198019803,841,134.17788171768188
102,0,-1,0.19607843137254902,852,135.91523671150208
103,0,-1,0.1941747572815534,867,138.23825192451477
104,0,-1,0.19230769230769232,872,138.97657251358032
105,1,0,0.2,876,139.65415620803833
106,0,-1,0.19811320754716982,879,140.21377110481262
107,0,-1,0.19626168224299065,885,141.07301998138428
108,0,-1,0.19444444444444445,899,143.408775806427
109,1,0,0.2018348623853211,904,144.25288462638855
110,0,-1,0.2,909,145.07419562339783
111,0,-1,0.1981981981981982,924,147.44405484199524
112,0,-1,0.19642857142857142,928,148.06663036346436
113,0,-1,0.19469026548672566,934,149.07199382781982
114,1,0,0.20175438596491227,938,149.65992307662964
115,1,0,0.20869565217391303,946,150.94405055046082
116,1,0,0.21551724137931033,950,151.5670816898346
117,0,-1,0.21367521367521367,962,153.52168488502502
118,1,0,0.22033898305084745,984,156.99013686180115
119,1,0,0.226890756302521,995,158.7136266231537
120,1,0,0.23333333333333334,1001,159.67422890663147
121,0,-1,0.23140495867768596,1005,160.35280680656433
122,0,-1,0.22950819672131148,1009,160.97341442108154
123,0,-1,0.22764227642276422,1017,162.21897745132446
124,0,-1,0.22580645161290322,1026,163.6712155342102
125,0,-1,0.224,1031,164.5112738609314
126,1,0,0.23015873015873015,1036,165.31760954856873
127,1,0,0.23622047244094488,1063,169.6065857410431
128,1,0,0.2421875,1078,172.0369131565094
129,0,-1,0.24031007751937986,1084,172.98573541641235
